"ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US (USW00026451)",,,,,,
Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
1/1/1980,,,-17,0,0,8
1/2/1980,,16,-12,0,0,8
1/3/1980,,6,-15,0,0,7
1/4/1980,,13,-14,0.01,0.1,7
1/5/1980,,23,12,0.19,2.1,8
1/6/1980,,25,23,0.01,0.1,7
1/7/1980,,25,6,0,0,7
1/8/1980,,17,5,0,0,7
1/9/1980,,17,2,0,0,7
1/10/1980,,15,3,0,0,6
1/11/1980,,10,1,0,0,6
1/12/1980,,8,-8,0,0,6
1/13/1980,,5,-5,0,0,6
1/14/1980,,8,3,0,0,6
1/15/1980,,12,,0.01,0.2,6
1/16/1980,,14,8,0.1,1.7,7
1/17/1980,,38,10,0.2,2.9,11
1/18/1980,,45,32,0.09,0,10
1/19/1980,,43,31,0.07,0.4,6
1/20/1980,,46,28,0,0,6
1/21/1980,,45,34,0.29,0.5,2
1/22/1980,,37,21,0.24,3.2,2
1/23/1980,,21,5,0,0,5
1/24/1980,,13,4,0,0,3
1/25/1980,,17,6,0,0,3
1/26/1980,,20,9,0,0,3
1/27/1980,,22,20,0.02,0.3,3
1/28/1980,,22,13,0,0,3
1/29/1980,,25,11,0,0,3
1/30/1980,,20,10,0,0,2
1/31/1980,,20,11,0.05,0.5,1
2/1/1980,,20,18,0.7,11.8,8
2/2/1980,,30,18,0,0,12
2/3/1980,,39,21,0.06,1,10
2/4/1980,,41,20,0.12,0.7,11
2/5/1980,,42,33,0,0,8
2/6/1980,,41,29,0.02,0.2,8
2/7/1980,,32,24,0,0,6
2/8/1980,,31,17,0,0,6
2/9/1980,,37,30,0,0,5
2/10/1980,,44,34,0.02,0,4
2/11/1980,,45,36,0,0,4
2/12/1980,,40,28,0,0,4
2/13/1980,,34,21,0,0,2
2/14/1980,,30,17,0,0,1
2/15/1980,,30,15,0,0,1
2/16/1980,,26,12,0,0,1
